trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,customer_country,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,merchant_country,is_fraud
2020-07-06 18:54:58,3567697931646329,Romaguera and Sons,travel,1.89,John,Stevens,M,428 Morgan River,Hudson,NY,12534.0,42.247,-73.7552,United States,17867.0,Travel agency manager,1998-07-29,602110a7ad030042a42c22242cd04d9e,1373136898.0,43.195534,-74.017398,United States,0.0
2020-08-01 22:28:30,4826655832045236,Renner Ltd,home,35.35,Tami,Forbes,F,5204 Robinson Plaza Suite 897,Barnstable,MA,2630.0,41.6983,-70.3001,United States,1850.0,Counselling psychologist,1963-12-29,5f90335fa25d59dc7560509f2770e111,1375396110.0,41.916243,-70.027449,United States,0.0
2020-07-25 09:31:32,3523898249167098,Emmerich-Luettgen,grocery_net,42.86,Joshua,Carpenter,M,04975 Allison Shoal,Bronx,NY,10463.0,40.8798,-73.9067,United States,1382480.0,"Therapist, drama",1990-11-09,00d3aae1d979946486a7769d4d13075c,1374744692.0,41.234548,-73.972347,United States,0.0
2020-07-23 00:38:59,5359543825610251,Auer-Mosciski,grocery_pos,66.73,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714.0,45.7801,-111.1439,United States,18182.0,"Engineer, drilling",1975-06-29,7493ef661cbad91caa0cefe30612c90b,1374539939.0,45.135826,-110.967049,United States,0.0
2020-06-30 16:11:00,30560609640617,Kirlin and Sons,personal_care,20.1,Michael,Olson,M,558 Michael Estates,Luray,MO,63453.0,40.4931,-91.8912,United States,519.0,Town planner,1966-02-13,c20c3da54fc0a9615b6db9af38010274,1372608660.0,39.86205,-92.756219,United States,0.0
2020-08-19 04:44:32,4169759661243568,Stracke-Lemke,grocery_pos,94.94,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,17041.0,40.2236,-76.538,United States,213.0,Special educational needs teacher,1972-02-15,e3bcd1184c3407281a850acd65b6410a,1376887472.0,40.694776,-76.53335799999999,United States,0.0
2020-06-22 02:13:18,4169388510116,Pacocha-Bauch,shopping_pos,5.21,Marcia,Molina,F,6744 Jimmy Extensions,Port Gibson,NY,14537.0,43.033,-77.1575,United States,207.0,Database administrator,1962-09-27,82f18af5f69a34ae938c17d35774453c,1371867198.0,43.721012,-77.650346,Canada,0.0
2020-07-19 00:29:42,213113028819344,"Lehner, Reichert and Mills",misc_pos,681.36,Melanie,Jimenez,F,77944 Daniels Valley Suite 921,Camden,NY,13316.0,43.3392,-75.7543,United States,6460.0,Building control surveyor,1959-09-27,d7685d28017a768fcfe92b93e52bde42,1374193782.0,42.395479,-75.980903,United States,0.0
2020-08-26 05:59:04,3514897282719543,Emard Inc,gas_transport,35.79,Steven,Faulkner,M,841 Cheryl Centers Suite 115,Farmington,NY,14425.0,42.958,-77.3083,United States,10717.0,Cytogeneticist,1952-10-13,2fa9de3160628873a7f8023e4f96e6b0,1377496744.0,42.571718,-78.114373,United States,0.0
2020-07-15 01:04:25,341283058448499,Volkman-Predovic,shopping_net,141.93,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825.0,30.9788,-84.7373,United States,1461.0,"Engineer, broadcasting (operations)",1935-09-08,5182c0665e97952a95ca92de83da444f,1373850265.0,31.457717,-84.751246,United States,0.0
2020-08-16 18:10:24,30044330818990,Medhurst Inc,home,19.9,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967.0,26.4722,-81.8122,United States,224256.0,Paramedic,1985-08-29,6b0ec42f42502b3191e9d164811963f5,1376676624.0,26.821093,-81.366621,United States,0.0
2020-09-15 21:20:40,3531129874770000,"Schoen, Nienow and Bauch",personal_care,139.46,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733.0,43.8065,-73.0882,United States,5895.0,"Scientist, marine",1975-07-13,365a7392c0a3b053e1a0da51682d4d5a,1379280040.0,43.28782,-72.352793,United States,0.0
2020-07-14 00:31:57,213161869125933,Kerluke Inc,misc_net,120.21,Monica,Lane,F,3270 Scott Islands,East Andover,ME,4226.0,44.6084,-70.6993,United States,190.0,Animal nutritionist,1970-04-17,41312548127a10d70cff71f062af3666,1373761917.0,44.353506,-71.110701,United States,0.0
2020-08-17 22:06:42,30273037698427,Lind-Buckridge,entertainment,59.14,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165.0,35.5762,-91.4539,United States,111.0,Careers information officer,2000-06-13,810fb3f29e12d5610370c19c3ec58da3,1376777202.0,34.7809,-91.105267,United States,0.0
2020-08-21 04:12:10,584673555952,"Altenwerth, Cartwright and Koss",shopping_net,8.64,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531.0,47.5196,-101.2332,United States,307.0,Make,1930-08-13,c2cfb85ed19d9e10f87c0c251842858a,1377058330.0,47.375998,-101.030464,United States,0.0
2020-07-19 10:47:37,2264937662466770,Erdman-Kertzmann,gas_transport,58.37,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214.0,29.3641,-98.4924,United States,1595797.0,Land,1995-10-17,5d1fdc47bba410ed0dd1f45be73799bf,1374230857.0,29.713805,-98.865373,United States,0.0
2020-08-27 16:29:49,4681699462969,Conroy Ltd,shopping_pos,1.64,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132.0,35.8596,-86.421,United States,158701.0,"Journalist, newspaper",1978-03-06,cd8930075ad4f7fa290a80f830d64d2d,1377620989.0,35.629785,-86.59429,United States,0.0
2020-06-24 06:41:52,375082648741747,Friesen-Stamm,gas_transport,40.13,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546.0,47.0999,-96.727,United States,346.0,"Research officer, trade union",1976-12-14,e95cdeb0cec34b7953740f0916f6cd27,1372056112.0,46.517875,-97.414921,United States,0.0
2020-08-06 16:05:41,4502539526809429801,Schmeler-Howe,personal_care,2.63,Stephanie,Cummings,F,1025 Robin Square,Ash Flat,AR,72513.0,36.2201,-91.6421,United States,2856.0,Hydrologist,1926-08-27,7f736217f771a745db8fb399bda6ca66,1375805141.0,36.547032,-92.365431,United States,0.0
2020-09-05 00:05:13,4859525594182537,Kutch Group,grocery_net,75.68,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755.0,42.0716,-75.0152,United States,1228.0,"Psychotherapist, child",1990-02-25,7eada1262b603d1586f895bc9a19b62f,1378339513.0,42.975402,-74.990727,United States,0.0
2020-08-15 14:31:48,340953839692349,"McDermott, Osinski and Morar",home,37.0,Tyler,Wright,M,615 Clarke Spring Apt. 172,Warren,MI,48088.0,42.5164,-82.9832,United States,134056.0,"Doctor, hospital",1980-05-18,2078ca4236765ce351024f2679851370,1376577108.0,42.811526,-82.36970500000001,Canada,0.0
2020-07-16 12:50:09,4587657402165341815,"Haley, Jewess and Bechtelar",shopping_pos,206.03,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958.0,41.0646,-87.5917,United States,2135.0,"Psychotherapist, child",2004-05-08,f69ffe8b3df444a46b2f87f039c71184,1373979009.0,41.04702,-87.883353,United States,0.0
2020-07-17 03:21:05,374125201044065,"Effertz, Welch and Schowalter",entertainment,53.48,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012.0,38.9757,-77.0282,United States,601723.0,"Optician, dispensing",1970-07-20,f9a39fc90b536552ea2e15f292adbce8,1374031265.0,39.393883,-77.325132,United States,0.0
2020-08-23 10:48:44,4149238353975790,Luettgen PLC,gas_transport,69.21,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,15324.0,40.1008,-80.0652,United States,632.0,Dealer,1989-04-08,70fee541620f9013491a28d34310499c,1377254924.0,39.41481,-80.029526,United States,0.0
2020-07-20 06:19:05,30074693890476,"Stokes, Christiansen and Sipes",grocery_net,76.27,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851.0,37.9931,-100.9893,United States,2691.0,Arboriculturist,1993-08-16,d11974d11b0c9cdda7989a92ff1ccef5,1374301145.0,37.04415,-101.441365,United States,0.0
2020-07-01 22:19:32,6538441737335434,Abernathy and Sons,food_dining,382.92,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114.0,41.3851,-80.1752,United States,606.0,Energy manager,1997-09-22,4403753f34764c96773785d77ea42803,1372717172.0,40.476345,-79.75733699999999,United States,0.0
2020-09-08 14:57:37,30026790933302,"Larkin, Stracke and Greenfelder",entertainment,72.9,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113.0,32.9013,-91.0286,United States,595.0,Technical brewer,1979-09-03,5f99f23166eac35d3c00730d264b9e39,1378652257.0,32.669215,-90.203654,United States,0.0
2020-09-14 01:02:15,4998109455173950,Kutch Group,grocery_net,36.5,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114.0,38.9621,-94.5959,United States,545147.0,Counsellor,1987-11-18,030ffe6b3d8ba7cc9303d05e25c0b924,1379120535.0,39.515106,-95.139105,United States,0.0
2020-07-30 15:10:44,36078114201167,"Koss, McLaughlin and Mayer",food_dining,20.3,Christopher,Horn,M,956 Sanchez Highway,Mallie,KY,41836.0,37.2692,-82.9161,United States,798.0,Facilities manager,1926-06-26,94603400fddb7239d336e4d7b93438a7,1375197044.0,37.567004,-82.119569,United States,0.0
2020-07-13 16:12:32,4488941175228467,Effertz LLC,entertainment,10.98,Jacqueline,Washington,F,138 Stephen Ridges Apt. 978,Umatilla,FL,32784.0,28.9254,-81.6801,United States,11432.0,Private music teacher,1986-03-31,c518e399a0d695674e97628a72340277,1373731952.0,28.834892,-80.72509000000001,United States,0.0
2020-07-09 12:35:29,4992346398065154184,Erdman-Ebert,personal_care,23.07,Benjamin,Kim,M,920 Patrick Light,Mc Nabb,IL,61335.0,41.173,-89.2187,United States,532.0,Audiological scientist,1956-01-09,7da145d6777921a986c7776ca3a93af5,1373373329.0,40.430575,-89.594347,United States,0.0
2020-08-15 03:54:58,4255397449664185994,"Welch, Rath and Koepp",entertainment,8.19,George,Smith,M,7377 Walton Extensions Apt. 979,Dallas,TX,75236.0,32.69,-96.9177,United States,1263321.0,"Designer, interior/spatial",1952-09-27,a42bf58847ed6d486bf3d0362c24da6c,1376538898.0,32.374578,-95.937433,United States,0.0
2020-07-29 23:57:01,3598215285024754,Hickle Group,shopping_pos,32.85,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710.0,40.6729,-73.5365,United States,34496.0,"Librarian, public",1970-10-21,03713daff198aec2a6e3e2a6a1f8d0ce,1375142221.0,40.458678000000006,-74.37729,United States,0.0
2020-09-06 08:16:02,2286236465059468,Kassulke PLC,shopping_net,77.19,Morgan,Murray,F,2788 Brittney Island,Blairstown,MO,64726.0,38.5319,-93.9221,United States,467.0,Agricultural consultant,1950-05-27,df274f7dba164e3017c505f82b28252e,1378455362.0,37.999494,-93.790443,United States,0.0
2020-07-25 16:26:52,5359543825610251,Cummerata-Hilpert,entertainment,43.46,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714.0,45.7801,-111.1439,United States,18182.0,"Engineer, drilling",1975-06-29,3a6d6d22b9145d23733badc06f4449f0,1374769612.0,45.263658,-112.028227,United States,0.0
2020-06-30 10:48:48,30082025922891,Hermann and Sons,shopping_pos,6.79,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112.0,26.1184,-81.7361,United States,276002.0,"Pilot, airline",1934-06-23,83ba8432a0a919753f599d5bdb715ffe,1372589328.0,26.347359,-80.958826,United States,0.0
2020-08-27 10:38:18,213120463918358,Brekke and Sons,gas_transport,49.62,Willie,Jordan,M,529 West Key,Spearsville,LA,71277.0,32.955,-92.587,United States,1758.0,"Psychologist, forensic",1957-08-08,7e50695c98365a765e749f8ab460f81b,1377599898.0,32.142978,-92.579396,United States,0.0
2020-09-12 20:39:02,180064817343047,Hoppe-Parisian,kids_pets,149.0,Patricia,Gonzalez,F,8973 Mark Drive,Stephensport,KY,40170.0,37.9048,-86.524,United States,344.0,Chartered public finance accountant,1967-03-30,a3228e16ec6f6b5379e95dbdf3ef3cde,1379018342.0,37.617287,-85.640783,United States,0.0
2020-09-02 05:09:42,4550599031376731,Hills-Witting,shopping_net,9.97,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902.0,40.7559,-82.5123,United States,92985.0,Press photographer,1968-05-29,9a89397731c81ea0e0b0ef4f43cf5b36,1378098582.0,40.657359,-82.295013,United States,0.0
2020-06-30 17:50:11,38530489946071,Bernhard-Lesch,food_dining,4.95,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,29320.0,34.9572,-81.9916,United States,530.0,Animal technologist,1989-05-14,f5c90361bf0d220f75c4d3a17f4e8743,1372614611.0,35.158735,-82.41008199999999,United States,0.0
2020-06-23 02:51:08,30357372465631,Beier-Hyatt,shopping_pos,2.95,John,Nichols,M,00821 Joanna Meadow,Dalton,WI,53926.0,43.6718,-89.1918,United States,1628.0,Civil Service fast streamer,1967-09-30,6d19a157f9920accf7db0d1899478ece,1371955868.0,43.384109,-88.25552900000001,United States,0.0
2020-09-13 18:45:29,343746486082492,Abshire PLC,entertainment,23.84,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621.0,44.8605,-85.8138,United States,3096.0,"Social research officer, government",1975-10-11,bc8deaa3e08f37c81127d2b297cebb5a,1379097929.0,44.044751,-86.226683,United States,0.0
2020-06-22 16:40:44,4509142395811241,"Champlin, Rolfson and Connelly",travel,2.97,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563.0,31.6489,-82.1982,United States,1324.0,"Engineer, technical sales",1926-07-12,b17bde70cbd39a3bb44027c7cb765874,1371919244.0,32.47766,-81.295712,United States,0.0
2020-07-19 20:08:34,630425673344,Cormier LLC,health_fitness,89.86,Bryan,Miller,M,411 Laurie Fords,Cass,WV,24927.0,38.388000000000005,-79.9906,United States,365.0,Special effects artist,1970-03-14,764eb56d2d78d3abf77378ae763a2714,1374264514.0,38.451385,-79.266264,United States,0.0
2020-08-20 04:20:22,375767678113375,Murray-Smitham,grocery_pos,81.68,Christopher,Patterson,M,16744 Campbell Wall Apt. 372,Timberville,VA,22853.0,38.6476,-78.7717,United States,4367.0,Waste management officer,1962-04-12,7fa99864f375ac2b4b7393a62fee62de,1376972422.0,38.319007,-79.04373000000001,United States,0.0
2020-09-11 03:01:40,3589289942931264,Heller-Abshire,grocery_net,50.24,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374.0,43.7557,-97.5936,United States,343.0,"Development worker, international aid",1972-03-05,a24d9b474171872a32f8295051f0bab9,1378868500.0,42.884286,-97.346184,United States,0.0
2020-09-12 19:11:10,3557442674264531,"Mosciski, Ziemann and Farrell",shopping_net,88.05,Angela,Edwards,F,486 Wilkins Pines,Lithopolis,OH,43136.0,39.8013,-82.8125,United States,460.0,"Lecturer, higher education",2004-06-19,8cecf8148b437f78473c74ef07b9a3e2,1379013070.0,39.862517,-83.15070300000001,United States,0.0
2020-06-30 21:05:15,180011453250192,Schoen-Quigley,kids_pets,50.28,Craig,Dunn,M,721 Jacqueline Brooks,New Boston,IL,61272.0,41.2153,-90.9879,United States,1504.0,Manufacturing engineer,1993-10-05,a3f7a0fc7a78412be70adba9fd93c6d9,1372626315.0,40.975919,-91.615123,United States,0.0
2020-07-20 10:24:23,3559723917628303,Eichmann-Russel,misc_pos,46.93,Matthew,Huerta,M,622 Williams Trafficway,Ringwood,IL,60072.0,42.4048,-88.3054,United States,928.0,Outdoor activities/education manager,1985-05-13,8620d87966c0dec7dcbc1f4214c69b39,1374315863.0,41.705699,-87.706165,United States,0.0
2020-09-16 18:55:10,2254917871818484,Grimes LLC,entertainment,36.23,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,20687.0,38.0828,-76.3477,United States,313.0,Insurance underwriter,1976-03-26,c8d9faac8107060f3c451bdf6dcfd10e,1379357710.0,38.107624,-76.93578199999999,United States,0.0
2020-07-05 20:00:58,344709867813900,"Ledner, Hartmann and Feest",health_fitness,56.86,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872.0,27.4703,-81.4872,United States,50835.0,Environmental consultant,1986-01-30,2712eda39ee0e2bcd96a74dd67ae4f76,1373054458.0,26.570778000000004,-82.168361,United States,0.0
